Job Title,Company Name,Company Location,Salary,Experience Required,Job Description,Skills and Related Content
Python Developer Data Analyst,Torry Harris,"Bengaluru, Karnataka",Salary not mentioned,,"Full job description
 Are you a Python enthusiast with a strong background in data analysis? If so, we have the perfect job for you! Torry Harris, a leading IT consulting and services company, is currently seeking a Python Developer Data Analyst to join our team.  Job Title: Python Developer Data Analyst Company: Torry Harris Location: Remote or Bangalore, India  Job Description:  As a Python Developer Data Analyst at Torry Harris, you will be responsible for designing, developing, and maintaining Python-based data analysis solutions. You will work closely with our data scientists and business analysts to gather and understand requirements, and then transform them into efficient and scalable Python code.  Key Responsibilities:  1. Develop and maintain Python-based data analysis solutions 2. Collaborate with data scientists and business analysts to understand and fulfill requirements 3. Design and implement data processing and manipulation pipelines 4. Analyze and visualize complex data sets to derive insights and make recommendations 5. Build and maintain data models and algorithms 6. Ensure the security, privacy, and integrity of data 7. Support and troubleshoot data-related issues 8. Stay up to date with the latest trends and technologies in data analysis and Python development  Qualifications:  1. Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or a related field 2. Proven experience as a Python Developer or Data Analyst 3. Proficiency in Python and its data analysis libraries (e.g. pandas, numpy, matplotlib) 4. Solid understanding of statistical analysis, machine learning, and data visualization 5. Experience with database management systems (e.g. SQL, NoSQL) 6. Strong problem-solving and analytical skills 7. Excellent communication and teamwork abilities 8. Knowledge of cloud platforms, such as AWS or Azure, is a plus  Why Work at Torry Harris:","skills 7. Excellent communication and teamwork abilities 8. Knowledge of cloud platforms, such as AWS or Azure, is a plus  Why Work at Torry Harris:"
AI/ML Engineer with Computer Vision Experience,Arccus Inc,Company Location not found,"From ₹55,000 a month",3 years,"Job detailsHere’s how the job details align with your profile.PayFrom ₹55,000 a monthJob typeFull-timeShift and scheduleUS shiftDay shiftMonday to Friday&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job descriptionAbout Us:
Arccus Inc. is a forward-thinking technology company specializing in cutting-edge AI and machine learning solutions. We are dedicated to driving innovation and delivering top-notch products that solve real-world problems. We are currently seeking a talented Python Developer with a focus on AI/ML to join our dynamic team.
Job Description:As a Python Developer - AI/ML Engineer, you will be responsible for designing, developing, and deploying machine learning models and AI solutions. You will work closely with our data scientists and software engineers to implement AI algorithms, build deep learning models, and contribute to the development of AI-powered applications.
Key Responsibilities:",Skills:
Data Analyst,ClanX,"Mumbai, Maharashtra","₹5,00,000 - ₹6,00,000 a year",1-3 years,"Job detailsHere’s how the job details align with your profile.Pay₹5,00,000 - ₹6,00,000 a yearJob typeFull-time&nbsp;LocationMumbai, Maharashtra&nbsp;Full job description
Overview:
Eighty Days, a small but dynamic travel/utility company based in Mumbai, is seeking a Data Analyst to join our team. As an individual contributor, you will play a critical role in analyzing and tracking data from the ground up, helping drive key business decisions in a fast-paced environment.
 Requirements:","skills.
Bachelor's degree in a relevant field.
Experience in fast-paced environments with responsibility for end-to-end analytics."
"Data Architect - Data Management, Integration, and Reporting",Starweaver,Company Location not found,"₹7,00,000 - ₹15,00,000 a year",3+ years,"Job detailsHere’s how the job details align with your profile.Pay₹7,00,000 - ₹15,00,000 a yearJob typeFull-timeShift and scheduleUS shiftMonday to Friday&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionPaid sick timePaid time offWork from home&nbsp;Full job descriptionAbout Us:We are Starweaver, an innovative online education company dedicated to transforming learning through cutting-edge technology. Our mission is to empower learners worldwide with high-quality, accessible, and personalized education.
Our Vision:At Starweaver, we are committed to advancing our data infrastructure to support the continuous growth of our eLearning platform. Our goal is to optimize our data warehouse, ensure the highest standards of data quality, and seamlessly integrate new data sources to drive our analytical capabilities. By refining our data pipelines and enhancing our reporting tools, particularly through Power BI, we aim to provide our team with actionable insights that drive more informed decisions and fuel our mission to deliver transformative educational experiences.
We are particularly focused on optimizing our Starweaver Analytics tool, enriching our data sets, and enabling predictive analytics around course trends, learner engagement, and revenue growth. Additionally, we aim to strengthen our JourneyBuilder tool, which leverages generative AI to create personalized learning paths, ensuring every user receives the most effective and tailored educational experience.
Position Overview:We are seeking a skilled and motivated Data Architect to join our dynamic team. The ideal candidate will have a deep understanding of data architecture, data warehousing, and data integration, with a strong focus on optimizing data pipelines and enhancing reporting capabilities. You will play a crucial role in ensuring the integrity, scalability, and performance of our data infrastructure, as well as in building comprehensive reporting solutions to support data-driven decision-making across the organization.
Key Responsibilities:
Data Warehouse Management:",Skills:
Digital Marketing Trainer,Superstudents,Company Location not found,"₹7,000 - ₹15,000 a month",1+ years,"Job detailsHere’s how the job details align with your profile.Pay₹7,000 - ₹15,000 a monthJob typePart-timeShift and scheduleEvening shiftDay shift&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job descriptionEligibility: Experience Minimum 1+ years as Trainer and Executive in Digital marketing.
Responsibilities :","skills to create compelling content for various digital channels - Knowledge of SEO best practices to optimize website content for search engines - Experience managing paid advertising campaigns on platforms like Google Ads or Facebook Ads is a plus - Familiarity with performance marketing metrics such as click-through rates (CTR) and conversion rates Join our team of talented professionals and make a significant impact on our organization's digital presence.
Job Type: Part-time
Expected hours: 12 – 40 per week
Benefits:"
Digital Marketing Specialist,Wing AI,Company Location not found,"₹45,000 - ₹50,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹45,000 - ₹50,000 a monthJob typeFull-timePermanent&nbsp;LocationRemote&nbsp;Full job descriptionJD -- Social Media Marketing- Social Media Management- SEO- Ads campaign- Email Marketing- Website ManagementTOOLS -- Mailchimp- WordPress- Social Media Platforms- Google Analytics
Job Types: Full-time, Permanent
Education:",Skills information not found
Data Analyst / Macro Specialist,Accrualify Inc,"Nagpur, Maharashtra",Salary not mentioned,,"Job detailsHere’s how the job details align with your profile.Job typeFull-time&nbsp;LocationNagpur, Maharashtra&nbsp;BenefitsPulled from the full job descriptionFlexible scheduleHealth insuranceWork from home&nbsp;Full job description
What We Need",Skills
UI/UX Design Intern,Asha Resins Pvt. Ltd.,Company Location not found,"₹10,000 - ₹15,000 a month",,"Job detailsHere’s how the job details align with your profile.Pay₹10,000 - ₹15,000 a monthJob typeInternshipShift and scheduleDay shift&nbsp;LocationRemote&nbsp;BenefitsPulled from the full job descriptionWork from home&nbsp;Full job description
UI/UX Design: Create and refine user interface designs that are both aesthetically pleasing and functional, ensuring a seamless and enjoyable shopping experience.
User Research: Conduct user research and usability testing to understand user needs and behaviors, and apply these insights to improve the design.
Wireframing and Prototyping: Develop wireframes, mockups, and prototypes to visualize design concepts and gather feedback.
Design Implementation: Collaborate with developers to ensure the design is accurately translated into a functional website, providing design assets and guidance as needed.
Usability Testing: Test and evaluate the design for usability and accessibility, making iterative improvements based on user feedback and testing results.
Design Trends: Stay up-to-date with the latest design trends and e-commerce best practices to ensure our site remains current and competitive.",Skills information not found
Python Data Scientist/Analyst,Excellent Opportunity,Company Location not found,"₹25,00,000 - ₹36,00,000 a year",2 years,"Job detailsHere’s how the job details align with your profile.Pay₹25,00,000 - ₹36,00,000 a yearJob typeFull-timeShift and scheduleUS shift&nbsp;LocationRemote&nbsp;Full job descriptionBachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 2 years of relevant experience as a data scientist
2+ years of data analysis experience and a desire to have a significant impact on the field of artificial intelligence
2+ years of experience working with Python programming.
Fluent in conversational and written English communication skills.
Contract Length: 6-12 months
Notice Period: 2 weeks
Work Hours: 5 hours overlap with PST time zone
Standard work hours are 8 AM PST - 4 PM PST.
Job Type: Full-time
Schedule:","skills.
Contract Length: 6-12 months
Notice Period: 2 weeks
Work Hours: 5 hours overlap with PST time zone
Standard work hours are 8 AM PST - 4 PM PST.
Job Type: Full-time
Schedule:"
Data Analyst,Matrix Business Services,"Bengaluru, Karnataka","₹7,00,000 - ₹8,00,000 a year",5 years,"Job detailsHere’s how the job details align with your profile.Pay₹7,00,000 - ₹8,00,000 a year&nbsp;LocationBengaluru, Karnataka&nbsp;Full job description
Minimum of 3 – 5 years Bangalore
 Position: Team Leader / Assistant Manager
 Educational Qualification: Any Graduate
 CTC:7-8 LPA Job Opportunity:
We seek a good data analyst who is extremely detail-oriented and can explain large amounts of information in a simple, organized manner.
Candidate should have strong math skills and business acumen, interpret data, and be curious.","skills and business acumen, interpret data, and be curious."
